hydro_project,timeseries,hydro_avg_flow_mw,hydro_min_flow_mw
H_LAGUNETA,2023_Q2_labor,17.824820000000003,1e-05
H_LAGUNETA,2023_Q3_holidays,17.92531,0.00025
H_LAGUNETA,2023_Q3_labor,17.911605,1e-05
H_LAGUNETA,2023_Q4_holidays,17.931759999999997,1e-05
H_LAGUNETA,2023_Q4_labor,17.92196,0.00015
H_LaPita,2023_Q1_holidays,1.17229,0.01339
H_LaPita,2023_Q1_labor,1.17799,0.014039999999999999
H_LaPita,2023_Q2_holidays,0.70272,0.03712
H_LaPita,2023_Q2_labor,0.70502,0.0018700000000000001
H_LaPita,2023_Q3_holidays,1.178095,0.26294
H_LaPita,2023_Q3_labor,1.1922100000000002,0.0013700000000000001
H_LaPita,2023_Q4_holidays,1.191815,0.2007
H_LaPita,2023_Q4_labor,1.19138,0.00017999999999999998
H_LaRebusca,2023_Q1_holidays,0.66927,0.363
H_LaRebusca,2023_Q1_labor,0.669675,0.0003
H_LaRebusca,2023_Q2_holidays,0.6660900000000001,0.00567
H_LaRebusca,2023_Q2_labor,0.6664500000000001,0.00513
H_LaRebusca,2023_Q3_holidays,0.66,0.23121
H_LaRebusca,2023_Q3_labor,0.6610499999999999,0.0036
H_LaRebusca,2023_Q4_holidays,0.6611549999999999,0.03957
H_LaRebusca,2023_Q4_labor,0.6606449999999999,0.00894
H_La_Vuelta,2023_Q1_holidays,6.864,0.0616
H_La_Vuelta,2023_Q1_labor,7.4338,0.046200000000000005
H_La_Vuelta,2023_Q2_holidays,8.5624,0.2464
H_La_Vuelta,2023_Q2_labor,8.160900000000002,0.0066
H_La_Vuelta,2023_Q3_holidays,8.9122,0.0352
H_La_Vuelta,2023_Q3_labor,8.6504,0.0022
H_La_Vuelta,2023_Q4_holidays,6.919,0.022
H_La_Vuelta,2023_Q4_labor,7.2149,0.0088
H_LasPalmas,2023_Q1_holidays,1.9442,1.1858
H_LasPalmas,2023_Q1_labor,1.9245,0.01902
H_LasPalmas,2023_Q2_holidays,2.1026,0.02452
H_LasPalmas,2023_Q2_labor,2.0713000000000004,0.00784
H_LasPalmas,2023_Q3_holidays,2.0214000000000003,0.29116000000000003
H_LasPalmas,2023_Q3_labor,2.00835,0.06591
H_LasPalmas,2023_Q4_holidays,2.08875,0.02843
H_LasPalmas,2023_Q4_labor,2.06895,0.00141
H_Libertad,2023_Q1_holidays,0.46701499999999996,0.069
H_Libertad,2023_Q1_labor,0.474145,0.00023
H_Libertad,2023_Q2_holidays,0.41078,0.00069
H_Libertad,2023_Q2_labor,0.41652999999999996,0.00023
H_Libertad,2023_Q3_holidays,0.36662,0.00069
H_Libertad,2023_Q3_labor,0.36869,0.00023
